date,lift_id,lift_name,sets,reps,weight,notes,flag,source
2025-11-13,triceps_pushdown,Triceps Pushdown,3,12,37.5,"good, stay, keep elbows locked, tension throughout",,2025-11
2025-11-13,weighted_pull_ups,Weighted Pull-Ups,3,5,0.0,"ok, pretty hard",,2025-11
2025-11-14,cable_rotation,Cable Rotation,3,12,22.5,,,2025-11
2025-11-14,hip_thrust,Hip Thrust,3,10,145.0,"145, 165, 185",,2025-11
2025-11-14,seated_hamstring_curl,Seated Hamstring Curl,3,12,90.0,good go up,,2025-11
2025-11-14,trap_bar_deadlift,Trap Bar Deadlift,3,5,195.0,,,2025-11
2025-11-17,barbell_bench_press,Barbell Bench Press,3,5,145.0,ok go 155. pinkies just inside band.,,2025-11
2025-11-17,db_incline_press,Dumbbell Incline Press,3,12,40.0,,,2025-11
2025-11-17,db_incline_press,Dumbbell Incline Press,3,10,45.0,,,2025-11
2025-11-17,hammer_curl,Hammer Curl,3,12,30.0,v hard,,2025-11
2025-11-17,lateral_raise,Lateral Raise,3,20,10.0,"hard, stay",,2025-11
2025-11-17,overhead_triceps_extension,Overhead Triceps Extension,3,15,35.0,v hard pushdown,,2025-11
2025-11-17,rear_delt_fly,Rear Delt Fly,3,20,10.0,so burny,,2025-11
2025-11-17,row,Row,3,10,135.0,go x12,,2025-11
2025-11-19,bulgarian_split_squat,Bulgarian Split Squat,3,8,25.0,,,2025-11
2025-11-20,db_flat_bench,DB Flat Bench,3,10,50.0,,,2025-11
2025-11-20,incline_db_curl,Incline DB Curl,2,12,0.0,same,,2025-11
2025-11-20,triceps_pushdown,Triceps Pushdown,3,12,40.5,,,2025-11
2025-11-20,weighted_pull_ups,Weighted Pull-Ups,3,5,0.0,"semi neutral, go 6",,2025-11
2025-11-22,calf_raise,Calf Raise,3,18,70.0,a lot. back to x15,,2025-11
2025-11-22,glute_kickback,Glute Kickback,2,15,75.0,"75, 80 x12, go 90",,2025-11
2025-11-22,hip_abduction,Hip Abduction,1,15,0.0,x 85 v hard,,2025-11
2025-11-22,hip_adduction,Hip Adduction,1,15,0.0,x 55 go 70,,2025-11
2025-11-22,hip_thrust,Hip Thrust,3,10,185.0,"good, go 195",,2025-11
2025-11-22,trap_bar_deadlift,Trap Bar Deadlift,3,5,215.0,"fine, go 215",,2025-11
2025-11-24,barbell_bench_press,Barbell Bench Press,3,5,155.0,"good, hard,  stay or go 160",,2025-11
2025-11-24,db_incline_press,Dumbbell Incline Press,3,10,45.0,"hard, stay",,2025-11
